"parameter","metafor_value"
"abs_base_tau2",0.00201937078526073
"abs_base_I2",0.546758951191125
"abs_base_Q",13.1263187645655
"abs_base_mu",0.0934451738789508
"abs_base_se_mu",0.0236089384374184
"abs_base_ci_lo",0.0471725048283873
"abs_base_ci_hi",0.139717842929514
"abs_mod_tau2",0.000350420976710574
"abs_mod_I2",0.173359296545297
"abs_mod_Q",5.1360831562992
"abs_mod_beta_intcp",0.029565526372934
"abs_mod_se_intcp",0.0294806315684911
"abs_mod_ci_lo_intcp",-0.0462168496401157
"abs_mod_ci_hi_intcp",0.105347902385984
"abs_mod_beta_dot",0.097257771617819
"abs_mod_se_dot",0.0345457224438132
"abs_mod_ci_lo_dot",0.00845516500481915
"abs_mod_ci_hi_dot",0.186060378230819
"abs_mod_QM",7.92610955210494
"abs_mod_QM_p",0.0373130004058482
"signed_base_tau2",0.00402766211294876
"signed_base_I2",0.706404291958733
"signed_base_Q",21.2072370294544
"signed_base_mu",-0.0804707329873723
"signed_mod_tau2",0.000555681737757744
"signed_mod_beta_intcp",0.00483612546584132
"signed_mod_beta_dot",-0.131008352395106
"signed_mod_se_intcp",0.03176456592351
"signed_mod_se_dot",0.0374481589588412
"abs_egger_z",-1.98005861170175
"abs_egger_p",0.104570267391032
"abs_base_tau2_pl_lo",0
"abs_base_tau2_pl_hi",0.0157651866628446
"abs_mod_tau2_pl_lo",0
"abs_mod_tau2_pl_hi",0.00717845968169036
